Stimulus,CID,IsomericSMILES,Descriptors,sweet,floral,minty,pungent
72007-81-9,160065,CCC(C)(CCC1=CC=CC=C1)OC(=O)C,sweet;tea;floral;fruity;fresh;narcissus;hyacinth,1,1,0,0
1023288-21-2,57429407,CC(C)(C)C1=CC=CC(=C1)CCC=O,floral;aldehydic;rubbery,0,1,0,0
10484-36-3,6437735,CCCCCOC1=C(C=C(C=C1)/C=C/C)OC,sweet;spicy;floral;carnation;balsamic,1,1,0,0
121-33-5,1183,COC1=C(C=CC(=C1)C=O)O,sweet;vanilla;creamy;chocolate,1,0,0,0
6281-40-9,61379,CCCCCCOC(=O)CCC1=CC=CC=C1,sweet;fruity;green,1,0,0,0
1322-58-3,6374524,CC(C)CCCC(C)C/C=C/C(=O)C,sweet;dry;floral;rose;balsamic;woody,1,1,0,0
10484-56-7,82664,CCCCOC1=CC2=CC=CC=C2C=C1,sweet;berry;floral;strawberry;fruity;raspberry,1,1,0,0
52517-67-6,104224,CCCCCCCCCCC(OC)OC,floral;fresh;citrus,0,1,0,0
105-21-5,7742,CCCC1CCC(=O)O1,sweet;caramellic;nutty;coconut;powdery;creamy;coumarinic;lactonic;hay;tonka,1,0,0,0
2046-17-5,281254,COC(=O)CCCC1=CC=CC=C1,sweet;floral;honey;fruity;fruit dried fruit,1,1,0,0
NF0549,22150016,CC(C)CC(=O)C(C(C)C)SCC=C,spicy;floral;citrus;green;neroli;grapefruit,0,1,0,0
31539-84-1,6429308,CC(CC(C)(C)S)O,floral;lemon;grapefruit,0,1,0,0
4362-22-5,97785,CC(C1OCCO1)C2=CC=CC=C2,floral;earthy;mushroom;green,0,1,0,0
7511-41-3,135309,CCCC[C@H](CC)C(=O)O,sweet;herbal;musty,1,0,0,0
94201-73-7,3024003,CC1CCOC(C1)C2=CC=CC=C2,parsley;floral;herbal;rose;phenolic;fresh;green;bitter,0,1,0,0
60788-25-2,108515,CCOC(=O)C(=O)OCCC(C)CCC=C(C)C,sweet;aldehydic;floral;rose;lychee;muguet;lily;waxy,1,1,0,0
142-68-7,8894,C1CCOCC1,sweet;pungent;ethereal,1,0,0,1
50888-63-6,528127,CCCCC1=NC=C(N=C1C)C,sweet;earthy,1,0,0,0
591-68-4,61137,CCCCC(=O)OCCCC,sweet;fruity;pineapple;raspberry;green;tropical;tutti frutti,1,0,0,0
10544-63-5,12191,CCOC(=O)C=CC,fermented;estery;rummy;meaty;cognac;fruity;acidic;pineapple;pungent;sharp,0,0,0,1
40018-26-6SS,6994326,C1[C@H](SC[C@H](S1)O)O,meaty;sulfurous;eggy;brothy;bready;tomato;toasted;pungent;grilled,0,0,0,1
1569-60-4,20745,CC(CCC=C(C)C)O,sweet;oily;green;coriander,1,0,0,0
150-78-7,9016,COC1=CC=C(C=C1)OC,sweet;hay new mown hay;fennel;green,1,0,0,0
77189-02-7,12867949,C1CCC(C1)C2CCC(C2O)C3CCCC3,floral;fruity;fruit tropical fruit;tropical;musk,0,1,0,0
68133-77-7,6437473,CCC/C=C/COC(=O)C1=CC=CC=C1O,floral;orchid;balsamic;green;woody,0,1,0,0
541-85-5S,1715061,CC[C@H](C)CC(=O)CC,sweet;herbal;oily,1,0,0,0
18189-07-6,87501,CCCCCCCCCCOC(=O)C1=CC=CC=C1N,floral;neroli;grape,0,1,0,0
459-80-3,9989,CC(=CCCC(=CC(=O)O)C)C,dry;sweet;greasy;weedy;acidic;green;moldy;woody,1,0,0,0
75166-30-2,1715213,C[C@@H](CC1=CC=C(C=C1)C(C)(C)C)C=O,floral;lily of the valley,0,1,0,0
488-10-8,1549018,CC/C=C\CC1=C(CCC1=O)C,spicy;floral;herbal;woody;celery;citrus;jasmin,0,1,0,0
34686-71-0,6438070,CC/C=C/CC1CCCC(=O)O1,petal;floral;fruity;tuberose;oily;apricot;coconut;jasmin;peach,0,1,0,0
80-54-6,6652,CC(CC=O)C1=CC=C(C=C1)C(C)(C)C,floral;powdery;muguet;green;watery;cumin,0,1,0,0
2216-45-7,75187,CC1=CC=C(C=C1)COC(=O)C,floral;herbal;fruity;privet;cilantro;green;hawthorn;hyacinth,0,1,0,0
20483-36-7,577126,CC1=C(C(CC=C1)(C)C)CCC(=O)C,floral,0,1,0,0
68459-99-4,5376281,CC1=CCCC(C1/C=C/C(=O)C(C)C)(C)C,floral;woody;violet;sweet,1,1,0,0
54089-83-7,103875,CC(CCC1=CC=CC=C1)CC#N,sweet;metallic;floral;muguet;lily;citrus,1,1,0,0
498-15-7,105050,CC1=CCC2[C@H](C1)C2(C)C,sweet,1,0,0,0
499-71-8,521267,CC1=CCC(CC1=O)C(C)C,minty,0,0,1,0
66062-78-0,106672,CC(C1C2CCC(C2)C1(C)C)O,sweet;herbal;vetiver;patchouli;fresh;woody;earthy,1,0,0,0
140-39-6,8797,CC1=CC=C(C=C1)OC(=O)C,floral;animal;phenolic;narcissus,0,1,0,0
68555-57-7,109467,CC(CCC=C(C)C)CCOC(=O)C1=CC=CC=C1N,sweet;petitgrain;floral;rose;fruity;neroli,1,1,0,0
NF0296,92256353,CC(=O)CC[C@H]1C(=C)CCCC1(C)C,floral;earthy;orris;fatty,0,1,0,0
40910-49-4,162027,CCOC(C)OC(C)(CCC=C(C)C)C=C,sweet;natural;floral;herbal;fresh;muguet;tropical,1,1,0,0
20770-40-5,89382,CC(CCC=C(C)C)CCOC(=O)C=C(C)C,floral;geranium;rose red rose,0,1,0,0
94087-23-7,44152860,CC1=CC2C(CC1CC2C(C)C)C3OCCO3,cortex;floral;privet;green;milky;woody,0,1,0,0
59462-26-9,91746663,C[C@H]1CCC2=C(C1)C3=C(C=C2C)OC=C3C,sweet;rich;heavy;incense;resin;myrrh,1,0,0,0
1128-08-1,62378,CCCCCC1=C(CCC1=O)C,sweet;spicy;floral;woody;herbal;fruity;fresh outdoors;powdery;jasmin;myrrh,1,1,0,0
115-95-7,8294,CC(=CCCC(C)(C=C)OC(=O)C)C,sweet;lavender;green;bergamot;woody;citrus,1,0,0,0
30460-92-5,121719,CC1(C2CC1C(=C)C(=O)C2)C,minty,0,0,1,0
76649-24-6,173536,CCCCC(=O)C1=C(CCCC1(C)C)C,sweet;kernel;apricot,1,0,0,0
2102-59-2,330573,CC1=CC[C@H](C[C@H]1O)C(=C)C,minty;spearmint,0,0,1,0
108-32-7,7924,CC1COC(=O)O1,minty;spicy;medical,0,0,1,0
25225-10-9,91339,CC(C1CCCC(C1)(C)C)OC(=O)C,floral;rose;fruity;geranium;musk,0,1,0,0
2396-84-1,1550470,CCOC(=O)/C=C/C=C/C,sweet;anise;warm;fruity;pineapple;licorice;ethereal;green;tropical,1,0,0,0
120-58-1,8439,CC=CC1=CC2=C(C=C1)OCO2,sweet;sassafrass;spicy,1,0,0,0
107-03-9,7848,CCCS,sweet;alliaceous;cabbage;onion;gassy,1,0,0,0
17957-94-7,442478,C[C@@H]1CCC2=C(C1)OC=C2C,camphoreous;herbal;minty;leafy,0,0,1,0
7212-44-4,8888,CC(=CCCC(=CCCC(C)(C=C)O)C)C,floral;green;woody;citrus;waxy,0,1,0,0
NF0650,10944610,C[C@@H]1C(=O)OCCCCCCCCCCCO1,sweet;flowery;ambergris;animal;nitromusk;ambrette;musk,1,0,0,0
25435-63-6,117483,CCCCCC1=CC(=O)CCC1,floral;coconut;muguet;orange;jasmin;lactonic,0,1,0,0
693-54-9,12741,CCCCCCCCC(=O)C,floral;peach;orange;fatty,0,1,0,0
123-19-3,31246,CCCC(=O)CCC,sweet;cognac;fruity;pineapple;tutti frutti;cheesy,1,0,0,0
110682-09-2,5355851,CC(C)C(=O)OC/C=C/C1=CC=CC=C1,sweet;spicy;floral;fruity;pineapple;cinnamyl;almond;tropical,1,1,0,0
24851-98-7,102861,CCCCCC1C(CCC1=O)CC(=O)OC,natural;floral;oily;green;jasmin;tropical;lactonic,0,1,0,0
123-51-3,31260,CC(C)CCO,fermented;molasses;banana;pungent;cognac;fruity;whiskey;fusel;ethereal;alcoholic,0,0,0,1
70851-60-4,6437979,CCC(C)(CC/C=C(\C)/CC/C=C(\C)/CCC=C(C)C)O,floral;balsamic,0,1,0,0
103-60-6,61005,CC(C)C(=O)OCCOC1=CC=CC=C1,sweet;rose;honey;floral;fruity;apple;powdery;green;tropical;waxy,1,1,0,0
501-52-0,107,C1=CC=C(C=C1)CCC(=O)O,sweet;fatty;cinnamon;floral;rose;musk,1,1,0,0
NF0587,68161383,CC1C(C2=C(C1(C)C)C=C(C=C2)C3=NC=NC=C3)(C)C,floral,0,1,0,0
586-62-9,11463,CC1=CCC(=C(C)C)CC1,sweet;herbal;fresh;woody;lemon peel;pine;citrus,1,0,0,0
90-42-6,7016,C1CCC(CC1)C2CCCCC2=O,sweet;cyclamen;orris;herbal;ozone;woody;minty;cumin,1,0,1,0
1963-36-6,230995,COC1=CC=C(C=C1)C=CC=O,sweet;vanilla;spicy;cinnamon;floral;smoky;candy;cherry,1,1,0,0
31323-51-0,5325912,CCC[C@H]1CCC(=O)O1,sweet;fruity;coconut;fatty,1,0,0,0
5392-40-5,8843,CC(=CCCC(=CC=O)C)C,lemon;sweet;sharp,1,0,0,0
3564-98-5,21310069,CC1CC[C@H]([C@@H](C1)O)C(C)(C)O,herbal;minty;eucalyptus,0,0,1,0
41453-56-9,5365027,CCCCCC/C=C\CO,sweet;fatty;melon;cucumber;tallow;green;waxy,1,0,0,0
613-70-7,61155,CC(=O)OC1=CC=CC=C1OC,sweet;vanilla;dry;spicy;smoky;guaiacol;powdery;phenolic;ham;woody;clove,1,0,0,0
61931-80-4,6434672,CC/C(=C/CCC(C)(C=C)OC(=O)C)/C,floral;rose;fruity;bergamot;tropical,0,1,0,0
58555-74-1,440917,CC1=CC[C@@H](CC1)C(=C)C,sweet;peely;fresh;orange;citrus,1,0,0,0
18383-49-8,11030188,CC(=C)[C@@H]1C[C@H]2[C@](O2)(C(=O)C1)C,sweet;spicy;spearmint;minty;caraway,1,0,1,0
540-42-1,10895,CCC(=O)OCC(C)C,sweet;rummy;estery;bubble gum;banana;fruity;tutti frutti;green;ethereal;tropical;pungent,1,0,0,1
80466-34-8,8901,CC=CC=CC=O,sweet;aldehydic;spicy;fatty;green,1,0,0,0
3391-90-0,638012,C[C@H]1CCC(=C(C)C)C(=O)C1,minty,0,0,1,0
112-31-2,8175,CCCCCCCCCC=O,sweet;aldehydic;floral;orange peel;orange;citrus rind;citrus;waxy,1,1,0,0
50980-84-2,170948,CCCC(=O)OCC(C)OC(=O)CCC,sweet;fruity;buttery,1,0,0,0
122-48-5,31211,CC(=O)CCC1=CC(=C(C=C1)O)OC,sweet;vanilla;spicy;ginger;phenolic;creamy;balsamic;woody,1,0,0,0
71077-31-1,116736,CC(CCC=C(C)CCC=O)C=C,aldehydic;magnolia;floral;muguet;lily,0,1,0,0
74094-62-5,229153,CCCCCCCCCCC1OCC(O1)C,sweet;floral;fatty,1,1,0,0
24237-00-1,91147,CCCCC1C=C(CC(O1)C)C,vegetable;spicy;floral;green;geranium;earthy,0,1,0,0
73019-15-5,6450452,CCCCCCC(=O)OC/C=C(\C)/CCC=C(C)C,floral;cognac;fusel;winey,0,1,0,0
7011-83-8,285097,CCCCCCC1(CCC(=O)O1)C,sweet;natural;spicy;fatty;floral;coconut;powdery;creamy;fresh;coumarinic;lactonic;jasmin;waxy,1,1,0,0
40853-53-0,6434275,CC(C)C/C=C(/CO)\C(C)C,herbal;fresh;woody;minty;rosemary,0,0,1,0
67634-12-2,106740,CC(C)(CCCC1=CCC(CC1)C=NC2=CC=CC=C2C(=O)OC)O,sweet;floral;fresh;lily;orangeflower,1,1,0,0
25564-22-1,117549,CCCCCC1=CCCC1=O,floral;woody;tuberose;jasmin,0,1,0,0
NF0298,71553170,CC1=C(C(CCC1)(C)C)CC[C@H](C)O,floral;amber,0,1,0,0
81925-81-7,517791,CCC(C)C(=O)C=CC,sweet;nut skin;nutty;coffee;filbert;roasted;hazelnut;raw;pungent;ketonic,1,0,0,1
41035-07-8,5325911,CC[C@H]1CCC(=O)O1,sweet;woody;creamy;coconut,1,0,0,0
2306-91-4,75320,CCCCCCCCCC(=O)OCCC(C)C,sweet;dirty;banana;cognac;fruity;green;waxy,1,0,0,0
41114-00-5,38762,CCCCCCCCCCCCCCC(=O)OCC,sweet;honey,1,0,0,0
54393-36-1,5352836,CCC/C=C\CCCO,sweet;herbal;earthy,1,0,0,0
638-11-9,61184,CCCC(=O)OC(C)C,sweet;estery;ripe;fruity;pineapple;ethereal,1,0,0,0
81786-73-4,20836197,CC(/C(=C(/C)\C(=O)C)/C)C(C)(C)C,orris;floral;violet;balsamic;woody;pine,0,1,0,0
1629-58-9,15394,CCC(=O)C=C,mustard;spicy;peppery;garlic;onion;ethereal;pungent,0,0,0,1
60-12-8,6054,C1=CC=C(C=C1)CCO,sweet;rose dried rose;floral;rose;honey;bready;fresh,1,1,0,0
1211-29-6,5281929,CC/C=C\C[C@@H]1[C@H](CCC1=O)CC(=O)OC,sweet;magnolia;petal;floral;fruity;oily;fresh;green;waxy,1,1,0,0
NF0552,14759600,CCCCC1(C(=CC(=O)CC1(C)C)C)O,strong;sweet;minty;fruity;moss;herbal;green;woody;earthy,1,0,1,0
1329-99-3,7460,CC1=CCC(C=C1)C(C)C,minty,0,0,1,0
7492-39-9,22235151,CC(OCCOC)OCC1=CC=CC=C1,sweet;fruity;green,1,0,0,0
116-66-5,67005,CC1=C(C=C2C(=C1[N+](=O)[O-])C(CC2(C)C)(C)C)[N+](=O)[O-],sweet;dry;ambrette;powdery;musk,1,0,0,0
91-57-6,7055,CC1=CC2=CC=CC=C2C=C1,floral;woody;sweet,1,1,0,0
536-50-5,10817,CC1=CC=C(C=C1)C(C)O,sweet;floral;nutty;powdery;hawthorn,1,1,0,0
111753-60-7,4100752,CC(CC1=CC2=C(C=C1)OCO2)C=NC3=CC=CC=C3C(=O)OC,leafy;cortex;floral;ozone;fresh;green;orangeflower,0,1,0,0
624-24-8,12206,CCCCC(=O)OC,sweet;juicy;estery;bubble gum;sweaty;nutty;fruity;pineapple;apple;green;tutti frutti,1,0,0,0
68892-05-7,6437677,CC(=CCC/C(=C/COC(=O)CCCCCCCCC=C)/C)C,floral;rose;leafy;waxy,0,1,0,0
103-50-4,7657,C1=CC=C(C=C1)COCC2=CC=CC=C2,sweet;mushroom;rose;plastic;fruity;cherry;earthy,1,0,0,0
69929-16-4,50941,CCOCCC(C)CCC=C(C)C,cologne;clean;floral;rose;fresh;citrus,0,1,0,0
6963-56-0,243675,CCCC(=O)OCC1=CC=C(C=C1)OC,sweet;plum;floral;fruity;anisic;tropical;buttery,1,1,0,0
13341-72-5,94349,CC1CCC2=C(C(=O)OC2C1)C,sweet;spearmint;coconut;powdery;creamy;tobacco;coumarinic;tonka,1,0,0,0
58430-94-7,42745,CC(CCOC(=O)C)CC(C)(C)C,sweet;spicy;cumin;herbal;fruity;woody;orris,1,0,0,0
19894-97-4,88301,CC1([C@H]2CC=C([C@@H]1C2)CO)C,medicinal;balsamic;woody;minty;pine,0,0,1,0
52435-37-7,71336630,CCCCCCCC(=NO)C,floral;cucumber;fresh;green,0,1,0,0
71048-82-3,5365916,C/C=C/C(=O)C1C(C=CCC1(C)C)C,sweet;currant bud black currant bud;natural;petal;floral;rose;fruity,1,1,0,0
55253-28-6,62095,C[C@@H]1CC[C@@H]([C@@H]1C=O)C(=C)C,camphoreous;herbal;minty,0,0,1,0
36004-04-3,5369489,CC(/C=C/C1=CC=CC=C1)O,floral;fruity;sweet;balsamic,1,1,0,0
NF0295,11264039,CC(=O)CC[C@@H]1C(=C)CCCC1(C)C,floral;animal;orris;fatty,0,1,0,0
24817-51-4,520148,CCC(C)C(=O)OCCC1=CC=CC=C1,sweet;floral;rose;green;tropical;waxy,1,1,0,0
105-90-8,5355853,CCC(=O)OC/C=C(\C)/CCC=C(C)C,vegetable;floral;rose;honey;fruity;powdery;geranium;tropical;citrus;waxy,0,1,0,0
576-26-1,11335,CC1=C(C(=CC=C1)C)O,sweet;medicinal;rooty;coffee;phenolic,1,0,0,0
34047-39-7,61922,CC(=O)CCSC,sweet;vegetable;metallic;sulfurous;fatty;potato;tomato;earthy,1,0,0,0
1754-62-7,637520,COC(=O)/C=C/C1=CC=CC=C1,sweet;strawberry;balsamic;cherry,1,0,0,0
1708-35-6,15571,CCCCCCC1OCC(O1)CO,sweet;green;mossy;fungal;earthy,1,0,0,0
104-62-1,7711,C1=CC=C(C=C1)CCOC=O,floral;rose;herbal;watercress;green;hyacinth,0,1,0,0
84012-64-6,158410,CCC(=O)OCC(C)(C)CC1=C(CCC1C(=C)C)C,sweet;animal;musk,1,0,0,0
37519-97-4,5280341,CC(CC/C=C(\C)/CCC=C(C)C)CCO,floral;metallic;cyclamen,0,1,0,0
136115-66-7,5369326,CCOC(=O)/C=C\SC,sweet;onion,1,0,0,0
75587-05-2,6432923,CCCC(CCCC(=O)OCC)O,sweet;fruity;pineapple;fatty,1,0,0,0
104-76-7,7720,CCCCC(CC)CO,sweet;floral;oily;fresh;citrus,1,1,0,0
7500-42-7,101115,CC1(CCCC(C1=O)(C)O)C,sweet;herbal;tobacco,1,0,0,0
127-41-3,5282108,CC1=CCCC(C1/C=C/C(=O)C)(C)C,sweet;floral;fruity;violet;woody;tropical;orris,1,1,0,0
4433-36-7,102604,CC(CCCC(=O)C)CCC=C(C)C,sweet;floral;rose;balsamic;woody,1,1,0,0
79-78-7E,5365976,CC1=CCCC(C1/C=C/C(=O)CCC=C)(C)C,vanilla;floral;weedy;fruity;green;woody;tropical;orris;leathery;waxy,0,1,0,0
3391-87-5,443159,C[C@H]1CC[C@@H](C(=O)C1)C(C)C,mentholic;minty,0,0,1,0
57378-68-4,42296,CC=CC(=O)C1C(C=CCC1(C)C)C,sweet;currant bud black currant bud;natural;petal;floral;rose;herbal;fruity;tobacco;brown;woody;minty,1,1,1,0
84029-92-5Z,20839505,CCOC(C)OC1=C(C=C(C=C1)/C=C\C)OC,sweet;spicy;floral;carnation;tropical,1,1,0,0
1490-04-6,1254,CC1CCC(C(C1)O)C(C)C,mentholic;cooling;minty,0,0,1,0
1617-23-8,53428586,CCOC(=O)C(C)C=CC,sweet;berry;weedy;fruity;pineapple;melon rind;dusty;oily;cooling;green;cherry;tropical;pungent,1,0,0,1
67634-02-0,81572,CC(=CCCC(=CCOC(CC1=CC=CC=C1)OCC=C(C)CCC=C(C)C)C)C,floral;rose;powdery;green;tropical,0,1,0,0
122-57-6,15909,CC(=O)C=CC1=CC=CC=C1,sweet;spicy;rhubarb;cinnamon;floral;fruity;anisic;creamy;powdery;balsamic;phenolic;jammy,1,1,0,0
7493-78-9Z,6433507,CCCCCC(/C=C/C1=CC=CC=C1)OC(=O)C,sweet;spicy;fatty;floral;fruity;cinnamyl;balsamic;jasmin;tropical;chocolate;leathery,1,1,0,0
NF0562,57417966,CC/C=C\C(=O)C(OC)OC,sweet;earthy;camphor;warm;patchouli;minty,1,0,1,0
94-46-2,7193,CC(C)CCOC(=O)C1=CC=CC=C1,sweet;fruity;balsamic;green;waxy,1,0,0,0
97-96-1,7359,CCC(CC)C=O,sweet;cocoa;fruity;green;ethereal,1,0,0,0
20834-59-7,88710,CC1=CC=C(C=C1)CC(C)(C)O,floral;muguet;cumin;green,0,1,0,0
2412-80-8,17008,CC(C)CCC(=O)OC,sweet;banana;fruity;pineapple;cheesy,1,0,0,0
94704-89-9,5373603,CC/C=C\1/C2=CC=CC=C2C(=O)O1,sweet;vegetable;fenugreek;cortex;herbal;lovage;maple;brothy;phenolic;brown;celery,1,0,0,0
31565-19-2,169321,CC(C)CCCCCOC(=O)C,sweet;fruity;estery,1,0,0,0
98314-98-8,5367848,CCCCC/C=C/CC1CCCC1=O,sweet;fatty;melon;fruity;apricot;apple green apple;green;jasmin;peach;lactonic,1,0,0,0
